name,latitude,longitude,size,sizes,flightnum,origindelay,destdelay,avgoriginal,avgdest
Bozeman,45.65719986,-111.0400009,medium_airport,small,269,0.319702602,0.247191011,4.687732342,-5.943820225
Harrisburg,35.3117981,-80.64420319,medium_airport,small,189,0.296296296,0.331578947,7.957671958,2.436842105
Pensacola,30.53190041,-87.38529968,medium_airport,small,443,0.255079007,0.306122449,6.124153499,2.145124717
Fayetteville,33.42369843,-84.49990082,medium_airport,big,521,0.22840691,0.332053743,5.571976967,2.894433781
Grand Rapids,47.21110153,-93.50980377,medium_airport,big,753,0.28685259,0.275725594,6.317397078,-1.744063325
Key West,24.6487999,-81.57980347,medium_airport,small,184,0.217391304,0.304347826,12.73913043,8.288043478
Omaha,37.93420029,-88.23169708,medium_airport,big,1409,0.274662881,0.309759547,6.405961675,2.536775106
Lihue,21.97599983,-159.3390045,medium_airport,big,1005,0.235820896,0.352238806,-0.207960199,1.736318408
Kahului,20.89859962,-156.4299927,medium_airport,big,1847,0.329723877,0.393270822,4.560368165,3.975179261
Melbourne,28.04339981,-81.01920319,medium_airport,small,117,0.213675214,0.264957265,0.982905983,-0.264957265
Albany,40.25999832,-85.25330353,medium_airport,big,837,0.279569892,0.31466031,5.673835125,2.05601907
Flint,42.9654007,-83.74359894,medium_airport,small,296,0.216216216,0.255892256,3.945945946,0.606060606
Providence,37.42480087,-87.73609924,medium_airport,big,996,0.299196787,0.326305221,6.680722892,1.832329317
El Paso,40.77500153,-89.00109863,medium_airport,big,879,0.282138794,0.306122449,4.323094425,1.477324263
Juneau,43.42660141,-88.70320129,medium_airport,small,345,0.173913043,0.184971098,-0.782608696,-4.179190751
Eagle,39.64260101,-106.9179993,medium_airport,small,309,0.275080906,0.24025974,11.74433657,3.272727273
Akron,40.99259949,-81.43180084,medium_airport,small,493,0.221095335,0.268292683,10.40973631,0.782520325
Sioux Falls,43.58200073,-96.74189758,medium_airport,small,343,0.32361516,0.414985591,8.734693878,9.262247839
Missoula,46.91630173,-114.0910034,medium_airport,small,181,0.248618785,0.314917127,7.408839779,-0.35359116
Evansville,38.01169968,-87.59470367,medium_airport,small,220,0.240909091,0.2760181,11.02727273,1.126696833
Charlottesville,39.78749847,-85.63690186,medium_airport,small,170,0.264705882,0.409356725,14.80588235,12.30409357
Fargo,46.79249954,-96.80370331,medium_airport,small,374,0.320855615,0.402116402,19.89572193,7.772486772
Palm Springs,33.82970047,-116.5070038,medium_airport,big,978,0.329243354,0.345957011,12.73517382,2.766632549
Wilmington,44.42369843,-73.74960327,medium_airport,small,196,0.280612245,0.441624365,9.147959184,10.34010152
Myrtle Beach,33.67969894,-78.92829895,medium_airport,small,228,0.346491228,0.438596491,9.223684211,8.675438596
Long Beach,33.81769943,-118.1520004,medium_airport,big,755,0.4,0.429139073,15.74569536,10.54437086
White Plains,41.06700134,-73.70760345,medium_airport,big,548,0.348540146,0.416513761,8.99270073,10.97981651
Burlington,39.45470047,-102.2129974,medium_airport,small,264,0.272727273,0.290076336,7.318181818,1.694656489
Worcester,42.26729965,-71.8757019,medium_airport,small,60,0.45,0.435483871,15.18333333,13
Burbank,34.20069885,-118.3590012,medium_airport,big,1783,0.27650028,0.312955693,5.544026921,3.234436343
Gainesville,29.70269966,-82.42569733,medium_airport,small,194,0.319587629,0.317948718,8.237113402,5.041025641
Kalispell,48.10710144,-114.177002,medium_airport,small,138,0.246376812,0.240875912,6.072463768,-2.97810219
Kodiak,57.75,-152.4940033,medium_airport,small,43,0.093023256,0.209302326,-8.488372093,-6.651162791
Bethel,38.97529984,-84.03420258,medium_airport,small,81,0.111111111,0.135802469,-7.098765432,-7.333333333
Deadhorse,70.428338,-150.402899,medium_airport,small,80,0.1,0.2875,-12.1,-5.85
Ketchikan,55.35559845,-131.7140045,medium_airport,small,186,0.139784946,0.134408602,-5.983870968,-7.612903226
Sitka,57.04710007,-135.3619995,medium_airport,small,92,0.163043478,0.172043011,0.065217391,-11.12903226
Wrangell,56.48429871,-132.3699951,medium_airport,small,62,0.112903226,0.129032258,-8.532258065,-9.725806452
Petersburg,41.83060074,-83.68740082,medium_airport,small,62,0.064516129,0.161290323,-13.98387097,-7.467741935
Nome,30.01910019,-94.38770294,medium_airport,small,61,0.229508197,0.245901639,-5.081967213,-3.983606557
Kotzebue,66.88469696,-162.598999,medium_airport,small,61,0.163934426,0.180327869,-6.049180328,-6.557377049
Bellingham,48.7928009,-122.538002,medium_airport,small,95,0.178947368,0.170212766,-4.178947368,-11.67021277
Meridian,32.47499847,-88.61669922,medium_airport,small,83,0.156626506,0.325301205,1.662650602,6.807228916
Hattiesburg/Laurel,31.46710014,-89.33709717,medium_airport,small,52,0.096153846,0.096153846,7.903846154,-11.96153846
Brownsville,44.36460114,-122.9580002,medium_airport,small,187,0.13368984,0.206349206,-0.245989305,-3.698412698
Beaumont/Port Arthur,29.95079994,-94.02069855,medium_airport,small,85,0.223529412,0.329411765,2.023529412,2.729411765
Santa Fe,29.33609962,-95.11519623,medium_airport,small,58,0.224137931,0.13559322,9.448275862,-8.440677966
Alexandria,31.25219917,-92.47579956,medium_airport,small,208,0.211538462,0.296650718,2.956730769,-0.229665072
Waco,31.67930031,-97.24060059,medium_airport,small,145,0.131034483,0.164383562,-1.710344828,-6.260273973
Tyler,32.22269821,-95.31800079,medium_airport,small,170,0.135294118,0.191860465,-3.841176471,-3.034883721
Texarkana,33.49959946,-94.0943985,medium_airport,small,83,0.168674699,0.285714286,1.012048193,1.357142857
Laredo,27.43379974,-99.18589783,medium_airport,small,162,0.203703704,0.321212121,9.259259259,-3.193939394
Roswell,33.30160141,-104.5309982,medium_airport,small,4,0.75,0.25,12.75,1.5
Kalamazoo,42.28889847,-85.75,medium_airport,small,206,0.203883495,0.314009662,3.436893204,8.29468599
Traverse City,44.69779968,-85.91359711,medium_airport,small,95,0.336842105,0.457446809,8.715789474,12.70212766
Lansing,39.27330017,-94.88020325,medium_airport,small,249,0.257028112,0.378486056,10.3253012,6.227091633
Hobbs,32.6875,-103.2170029,medium_airport,small,49,0.12244898,0.12244898,0.693877551,-8.367346939
Lake Charles,30.13769913,-93.07929993,medium_airport,small,75,0.04,0.144736842,-5.133333333,-4.697368421
Lincoln,38.40390015,-93.33300018,medium_airport,small,231,0.251082251,0.363247863,5.623376623,2.547008547
State College,40.71670151,-77.98310089,medium_airport,small,58,0.206896552,0.533333333,2.672413793,9.183333333
Grand Junction,35.02389908,-89.20500183,medium_airport,small,188,0.196808511,0.319148936,3.042553191,2.70212766
Mosinee,44.77339935,-89.59369659,medium_airport,small,57,0.210526316,0.327586207,9.087719298,1.5
Elmira/Corning,42.15990067,-76.89160156,medium_airport,small,179,0.245810056,0.377777778,6.067039106,4.977777778
Valdosta,30.88710022,-83.41600037,medium_airport,small,84,0.238095238,0.476190476,18.6547619,10.02380952
Rapid City,44.20220184,-103.0790024,medium_airport,small,218,0.252293578,0.391705069,8.701834862,3.986175115
Brunswick,31.25880051,-81.46649933,medium_airport,small,86,0.197674419,0.348837209,6.453488372,5.139534884
Dothan,31.1215992,-85.36540222,medium_airport,small,116,0.293103448,0.387931034,17.02586207,13.25862069
Williston,48.00839996,-103.5910034,medium_airport,small,169,0.142011834,0.25443787,2.272189349,-2.479289941
Trenton,34.90470123,-85.45970154,medium_airport,small,168,0.238095238,0.203592814,3.607142857,-3.964071856
Hilo,19.72139931,-155.0480042,medium_airport,small,492,0.193089431,0.233739837,-2.756097561,-2.758130081
Latrobe,40.27590179,-79.40480042,medium_airport,small,93,0.344086022,0.430107527,9.483870968,11.68817204
Atlantic City,39.45759964,-74.57720184,medium_airport,small,310,0.370967742,0.448387097,9.058064516,11.96451613
Niagara Falls,43.1072998,-78.94619751,medium_airport,small,31,0.193548387,0.258064516,0.064516129,5.419354839
Yuma,40.10829926,-102.7279968,medium_airport,small,177,0.242937853,0.350282486,4,2.81920904
Santa Barbara,34.0196991,-119.8529968,medium_airport,big,500,0.24,0.352,10.03,4.338
Aspen,39.25999832,-106.9120026,medium_airport,big,607,0.354200988,0.308072488,10.58484349,1.283360791
Idaho Falls,43.60129929,-112.2429962,medium_airport,small,208,0.153846154,0.275362319,0.769230769,-1.458937198
Bakersfield,35.26330185,-119.0459976,medium_airport,small,188,0.196808511,0.354497354,6.723404255,4.306878307
La Crosse,41.33560181,-86.9285965,medium_airport,small,49,0.204081633,0.489795918,7.979591837,14.20408163
Minot,47.91139984,-101.2490005,medium_airport,small,151,0.231788079,0.406666667,10.31788079,8.36
Flagstaff,35.13850021,-111.6709976,medium_airport,small,157,0.152866242,0.23566879,1.375796178,-1.21656051
Grand Forks,48.00080109,-97.12239838,medium_airport,small,94,0.287234043,0.483870968,5.372340426,7.064516129
Great Falls,47.48199844,-111.3710022,medium_airport,small,151,0.165562914,0.335526316,5.225165563,2.769736842
Monterey,38.398333,-79.600278,medium_airport,small,210,0.152380952,0.352380952,0.180952381,2.419047619
Twin Falls,42.48180008,-114.487999,medium_airport,small,122,0.352459016,0.488372093,7.844262295,5.174418605
Plattsburgh,44.61669922,-73.46530151,medium_airport,small,31,0.35483871,0.516129032,2,6.838709677
Fresno,36.91439819,-119.7860031,medium_airport,big,598,0.299331104,0.389632107,12.51003344,5.715719064
San Luis Obispo,35.23680115,-120.6419983,medium_airport,small,221,0.271493213,0.262443439,5.529411765,3.036199095
Rock Springs,41.59420013,-109.0650024,medium_airport,small,57,0.087719298,0.140350877,9.01754386,-11.01754386
Pellston,45.57089996,-84.79669952,medium_airport,small,54,0.185185185,0.351851852,18.35185185,0.833333333
Elko,40.82490158,-115.7919998,medium_airport,small,53,0.132075472,0.509433962,9.301886792,35.66037736
Gillette,44.34889984,-105.5390015,medium_airport,small,88,0.136363636,0.170454545,-4.727272727,-8.193181818
Medford,44.15269852,-93.2723999,medium_airport,small,235,0.259574468,0.336170213,12.65106383,3.736170213
Santa Maria,34.89889908,-120.4570007,medium_airport,small,61,0.278688525,0.435483871,14.21311475,9.435483871
Eugene,44.12459946,-123.211998,medium_airport,small,291,0.319587629,0.327586207,16.72508591,5.624137931
Helena,46.68849945,-111.8710022,medium_airport,small,118,0.118644068,0.319327731,-1.423728814,-3.336134454
Arcata/Eureka,40.97809982,-124.1090012,medium_airport,small,125,0.432,0.544,13.352,13.72
Eau Claire,44.72359848,-91.4598999,medium_airport,small,62,0.177419355,0.467741935,12.17741935,4.758064516
Jamestown,37.85960007,-120.5540009,medium_airport,small,74,0.283783784,0.337837838,11.18918919,3.121621622
Hays,38.7806015,-99.22119904,medium_airport,small,52,0.230769231,0.365384615,6.134615385,4.346153846
Paducah,36.96749878,-88.56529999,medium_airport,small,62,0.193548387,0.35483871,14.4516129,13.83870968
Cody,44.40439987,-109.2819977,medium_airport,small,33,0.363636364,0.363636364,53,13.15151515
Aberdeen,47.08480072,-123.7740021,medium_airport,small,62,0.274193548,0.290322581,11.35483871,-6.241935484
Alpena,45.13230133,-83.44799805,medium_airport,small,52,0.25,0.307692308,30.90384615,10.65384615
Bemidji,47.41109848,-94.77249908,medium_airport,small,62,0.177419355,0.435483871,7.241935484,8.451612903
Marquette,46.47219849,-87.35009766,medium_airport,small,54,0.37037037,0.345454545,43.51851852,11.49090909
Binghamton,42.19169998,-75.84130096,medium_airport,small,76,0.236842105,0.407894737,11.78947368,17.11842105
Rhinelander,45.63119888,-89.46749878,medium_airport,small,88,0.204545455,0.306818182,3.909090909,-1.181818182
Lewiston,44.90000153,-84.30000305,medium_airport,small,55,0.109090909,0.181818182,14.8,-11.18181818
Brainerd,46.39830017,-94.13809967,medium_airport,small,52,0.192307692,0.326923077,35.80769231,1.846153846
International Falls,48.56620026,-93.40309906,medium_airport,small,54,0.203703704,0.462962963,17.22222222,7.555555556
Pocatello,42.90980148,-112.5960007,medium_airport,small,56,0.25,0.535714286,0.660714286,6.892857143
Butte,45.95479965,-112.4970016,medium_airport,small,58,0.206896552,0.362068966,-0.275862069,14.56896552
Cedar City,37.70100021,-113.098999,medium_airport,small,51,0.37254902,0.62745098,1.666666667,9.62745098
Redding,40.67250061,-122.3420029,medium_airport,small,61,0.327868852,0.491803279,11.14754098,9.37704918
Islip,40.79520035,-73.10019684,medium_airport,small,381,0.343832021,0.295811518,3.661417323,-1.285340314
Laramie,41.31209946,-105.6750031,medium_airport,small,52,0.211538462,0.269230769,6.5,-7.903846154
Yakutat,59.19918024,-138.447293,medium_airport,small,60,0.05,0.116666667,-19.5,-8.933333333
Cordova,41.70420074,-90.25980377,medium_airport,small,60,0.05,0.1,-15.63333333,-12.81666667
Adak Island,51.87799835,-176.6459961,medium_airport,small,9,0.444444444,0.222222222,7.222222222,-3.222222222
Detroit,42.40919876,-83.00990295,large_airport,huge,9489,0.311623986,0.300433266,9.73221625,1.698298637
Atlanta,40.26940155,-89.30220032,large_airport,huge,29870,0.346970204,0.277115294,7.419317041,0.129664367
Los Angeles,33.94250107,-118.4079971,large_airport,huge,16322,0.393150349,0.373535366,9.82630805,2.346788541
Salt Lake City,40.78839874,-111.9779968,large_airport,huge,8684,0.279824965,0.291182895,5.425955781,0.422462352
Nashville,31.17849922,-83.22650146,large_airport,big,3898,0.280656747,0.286702537,6.020779887,-0.222905457
Jacksonville,32.017778,-95.79694444,large_airport,big,1500,0.273333333,0.345563709,5.366666667,3.269513009
